==================================================================
fastsimcoal started on 26/06/2025 at 14:57:49

TMRCAs per non-recombining segment
Locus	Segment_length	Data_Type	Time_(gen)	deme	Num_Mutations
267	1	data unknown	1144.7	0	0
268	1	data unknown	717.747	0	0
269	1	data unknown	5175.78	0	0
270	1	data unknown	910.053	0	0
271	1	data unknown	1806.73	0	0
272	1	data unknown	1241.74	0	0
273	1	data unknown	1142.39	0	0
274	1	data unknown	708.069	0	0
275	1	data unknown	840.95	0	0
276	1	data unknown	848.862	0	0
277	1	data unknown	1609.93	0	0
278	1	data unknown	899.158	0	0
279	1	data unknown	1955.46	0	0
280	1	data unknown	4397.07	0	0
281	1	data unknown	1223.71	0	0
282	1	data unknown	1043.31	0	0
283	1	data unknown	948.288	0	0
284	1	data unknown	3394.31	0	0
285	1	data unknown	609.245	0	0
286	1	data unknown	954.861	0	0
287	1	data unknown	2578.85	0	0
288	1	data unknown	585.526	0	0
289	1	data unknown	2332.37	0	0
290	1	data unknown	627.037	0	0
291	1	data unknown	1207.1	0	0
292	1	data unknown	551.376	0	0
293	1	data unknown	1600.72	0	0
294	1	data unknown	695.141	0	0
295	1	data unknown	1155.88	0	0
296	1	data unknown	759.712	0	0
297	1	data unknown	575.42	0	0
298	1	data unknown	1261.96	0	0
299	1	data unknown	830.406	0	0
300	1	data unknown	705.986	0	0
301	1	data unknown	1584.86	0	0
302	1	data unknown	2782.37	0	0
303	1	data unknown	1311.5	0	0
304	1	data unknown	973.156	0	0
305	1	data unknown	2080.37	0	0
306	1	data unknown	1218.8	0	0
307	1	data unknown	245.438	0	0
308	1	data unknown	1435.73	0	0
309	1	data unknown	1232.3	0	0
310	1	data unknown	1043.88	0	0
311	1	data unknown	1751.82	0	0
312	1	data unknown	1550.69	0	0
313	1	data unknown	896.194	0	0
314	1	data unknown	2868.06	0	0
315	1	data unknown	888.321	0	0
316	1	data unknown	931.11	0	0
317	1	data unknown	936.005	0	0
318	1	data unknown	676.628	0	0
319	1	data unknown	708.157	0	0
320	1	data unknown	961.3	0	0
321	1	data unknown	1317.26	0	0
322	1	data unknown	255.432	0	0
323	1	data unknown	1739.62	0	0
324	1	data unknown	5320.05	0	0
325	1	data unknown	3125.86	0	0
326	1	data unknown	1989.34	0	0
327	1	data unknown	1430.5	0	0
328	1	data unknown	532.524	0	0
329	1	data unknown	2916.11	0	0
330	1	data unknown	1148.37	0	0
331	1	data unknown	614.62	0	0
332	1	data unknown	953.754	0	0
333	1	data unknown	1829.14	0	0
334	1	data unknown	835.869	0	0
335	1	data unknown	502.945	0	0
336	1	data unknown	2275.45	0	0
337	1	data unknown	2225.94	0	0
338	1	data unknown	1213.01	0	0
339	1	data unknown	2491	0	0
340	1	data unknown	765.24	0	0
341	1	data unknown	798.618	0	0
342	1	data unknown	1195.03	0	0
343	1	data unknown	1030.74	0	0
344	1	data unknown	1678.74	0	0
345	1	data unknown	1485.9	0	0
346	1	data unknown	1018.59	0	0
347	1	data unknown	111.427	0	0
348	1	data unknown	1174.48	0	0
349	1	data unknown	1784.11	0	0
350	1	data unknown	909.801	0	0
351	1	data unknown	1279.87	0	0
352	1	data unknown	1181.11	0	0
353	1	data unknown	3278.53	0	0
354	1	data unknown	2633.39	0	0
355	1	data unknown	1442.94	0	0
356	1	data unknown	1790.93	0	0
357	1	data unknown	804.573	0	0
358	1	data unknown	3295.7	0	0
359	1	data unknown	3801.93	0	0
360	1	data unknown	612.282	0	0
361	1	data unknown	538.998	0	0
362	1	data unknown	527.569	0	0
363	1	data unknown	570.423	0	0
364	1	data unknown	1739.73	0	0
365	1	data unknown	1623.73	0	0
366	1	data unknown	674.271	0	0
367	1	data unknown	1457.49	0	0
368	1	data unknown	1707.03	0	0
369	1	data unknown	1014.44	0	0
370	1	data unknown	577.873	0	0
371	1	data unknown	3531.41	0	0
372	1	data unknown	1875.38	0	0
373	1	data unknown	4775.39	0	0
374	1	data unknown	169.334	0	0
375	1	data unknown	2115.57	0	0
376	1	data unknown	1174.98	0	0
377	1	data unknown	1058.75	0	0
378	1	data unknown	2861.21	0	0
379	1	data unknown	839.481	0	0
380	1	data unknown	114.288	0	0
381	1	data unknown	514.328	0	0
382	1	data unknown	2178.85	0	0
383	1	data unknown	693.695	0	0
384	1	data unknown	597.515	0	0
385	1	data unknown	1928.15	0	0
386	1	data unknown	1111.64	0	0
387	1	data unknown	980.667	0	0
388	1	data unknown	644.169	0	0
389	1	data unknown	1218.93	0	0
390	1	data unknown	753.22	0	0
391	1	data unknown	2379.99	0	0
392	1	data unknown	1655.25	0	0
393	1	data unknown	1142.64	0	0
394	1	data unknown	798.584	0	0
395	1	data unknown	1139.04	0	0
396	1	data unknown	721.84	0	0
397	1	data unknown	1370.69	0	0
398	1	data unknown	1183.3	0	0
399	1	data unknown	1880.84	0	0
400	1	data unknown	1366.37	0	0
401	1	data unknown	2946.38	0	0
402	1	data unknown	659.718	0	0
403	1	data unknown	1423.11	0	0
404	1	data unknown	698.635	0	0
405	1	data unknown	1083.31	0	0
406	1	data unknown	531.3	0	0
407	1	data unknown	2009.99	0	0
408	1	data unknown	1159.32	0	0
409	1	data unknown	509.621	0	0
410	1	data unknown	1661.07	0	0
411	1	data unknown	2035.39	0	0
412	1	data unknown	2291.68	0	0
413	1	data unknown	684.769	0	0
414	1	data unknown	1231.54	0	0
415	1	data unknown	1322.96	0	0
416	1	data unknown	1105.99	0	0
417	1	data unknown	1842.3	0	0
418	1	data unknown	2460.65	0	0
419	1	data unknown	2490.35	0	0
420	1	data unknown	1341.22	0	0
421	1	data unknown	2005.05	0	0
422	1	data unknown	804.859	0	0
423	1	data unknown	1863.7	0	0
424	1	data unknown	2360.74	0	0
425	1	data unknown	2270.85	0	0
426	1	data unknown	1142.01	0	0
427	1	data unknown	1458.05	0	0
428	1	data unknown	708.618	0	0
429	1	data unknown	619.595	0	0
430	1	data unknown	965.111	0	0
431	1	data unknown	1531.17	0	0
432	1	data unknown	959.332	0	0
433	1	data unknown	3146.8	0	0
434	1	data unknown	2838.49	0	0
435	1	data unknown	590.237	0	0
436	1	data unknown	170.937	0	0
437	1	data unknown	643.49	0	0
438	1	data unknown	1307.41	0	0
439	1	data unknown	2440.28	0	0
440	1	data unknown	2382.26	0	0
441	1	data unknown	669.483	0	0
442	1	data unknown	2009.4	0	0
443	1	data unknown	1663.82	0	0
444	1	data unknown	1020.22	0	0
445	1	data unknown	1114.54	0	0
446	1	data unknown	1515.51	0	0
447	1	data unknown	1598.05	0	0
448	1	data unknown	37.4222	0	0
449	1	data unknown	949.356	0	0
450	1	data unknown	1902.92	0	0
451	1	data unknown	2828.44	0	0
452	1	data unknown	3104.89	0	0
453	1	data unknown	755.962	0	0
454	1	data unknown	1305.22	0	0
455	1	data unknown	11.5204	0	0
456	1	data unknown	734.009	0	0
457	1	data unknown	760.918	0	0
458	1	data unknown	1344.64	0	0
459	1	data unknown	772.739	0	0
460	1	data unknown	735.081	0	0
461	1	data unknown	921.028	0	0
462	1	data unknown	997.208	0	0
463	1	data unknown	2246.72	0	0
464	1	data unknown	1281.98	0	0
465	1	data unknown	1428.44	0	0
466	1	data unknown	2611.58	0	0
467	1	data unknown	1863.34	0	0
468	1	data unknown	1959.14	0	0
469	1	data unknown	1212.42	0	0
470	1	data unknown	1027.88	0	0
471	1	data unknown	1428.36	0	0
472	1	data unknown	1126.58	0	0
473	1	data unknown	2031.23	0	0
474	1	data unknown	507.111	0	0
475	1	data unknown	1473.9	0	0
476	1	data unknown	443.23	0	0
477	1	data unknown	1968.55	0	0
478	1	data unknown	1345.56	0	0
479	1	data unknown	713.696	0	0
480	1	data unknown	1295.18	0	0
481	1	data unknown	681.374	0	0
482	1	data unknown	2683.5	0	0
483	1	data unknown	1579.26	0	0
484	1	data unknown	3377.37	0	0
485	1	data unknown	635.04	0	0
486	1	data unknown	2567.01	0	0
487	1	data unknown	2546.98	0	0
488	1	data unknown	1200.7	0	0
489	1	data unknown	1259.96	0	0
490	1	data unknown	1277.1	0	0
491	1	data unknown	1296.63	0	0
492	1	data unknown	706.848	0	0
493	1	data unknown	1629.73	0	0
494	1	data unknown	808.029	0	0
495	1	data unknown	2076.75	0	0
496	1	data unknown	2064.81	0	0
497	1	data unknown	2624.95	0	0
498	1	data unknown	455.742	0	0
499	1	data unknown	2188.13	0	0
500	1	data unknown	3116.46	0	0
501	1	data unknown	1468.38	0	0
502	1	data unknown	1523.11	0	0
503	1	data unknown	1616.78	0	0
504	1	data unknown	1811.5	0	0
505	1	data unknown	2628.57	0	0
506	1	data unknown	2364.68	0	0
507	1	data unknown	15.831	0	0
508	1	data unknown	666.676	0	0
509	1	data unknown	2001.55	0	0
510	1	data unknown	2025.72	0	0
511	1	data unknown	2873.71	0	0
512	1	data unknown	5711.76	0	0
513	1	data unknown	3200.55	0	0
514	1	data unknown	1056.49	0	0
515	1	data unknown	1151.55	0	0
516	1	data unknown	2948.07	0	0
517	1	data unknown	663.242	0	0
518	1	data unknown	2117.1	0	0
519	1	data unknown	398.407	0	0
520	1	data unknown	1910.08	0	0
521	1	data unknown	303.612	0	0
522	1	data unknown	711.422	0	0
523	1	data unknown	1363.43	0	0
524	1	data unknown	1673.57	0	0
525	1	data unknown	549.358	0	0
526	1	data unknown	768.158	0	0
527	1	data unknown	817.215	0	0
528	1	data unknown	1612.29	0	0
529	1	data unknown	924.969	0	0
530	1	data unknown	2158.28	0	0
531	1	data unknown	1558.94	0	0
532	1	data unknown	1258.53	0	0
533	1	data unknown	693.42	0	0
534	1	data unknown	1786.99	0	0
535	1	data unknown	3164.93	0	0
536	1	data unknown	841.972	0	0
537	1	data unknown	854.87	0	0
538	1	data unknown	1412.77	0	0
539	1	data unknown	2344.43	0	0
540	1	data unknown	1055.06	0	0
541	1	data unknown	1697.32	0	0
542	1	data unknown	3667.65	0	0
543	1	data unknown	941.105	0	0
544	1	data unknown	1039	0	0
545	1	data unknown	606.052	0	0
546	1	data unknown	1630.6	0	0
547	1	data unknown	2158.23	0	0
548	1	data unknown	2625.63	0	0
549	1	data unknown	1240.71	0	0
550	1	data unknown	2149.85	0	0
551	1	data unknown	1447.21	0	0
552	1	data unknown	1392.02	0	0
553	1	data unknown	3361.04	0	0
554	1	data unknown	1326.03	0	0
555	1	data unknown	719.517	0	0
556	1	data unknown	1978.42	0	0
557	1	data unknown	525.623	0	0
