N1,N2,T_split,MigRate,Fst,dxy,segsites1,segsites2,pi1,pi2,tajima1,tajima2
150000,5000,8893,0,0.11861551792928648,0.10269543999999844,0.4103,0.1467,0.10234016326530335,0.05949232653061331,0.42964733932929433,2.9880060458677065
150000,5000,5159,0,0.09873104874806016,0.10091311999999857,0.4282,0.189,0.10085110204081355,0.06470326530612167,0.20141236855094774,1.9531144242585994
150000,5000,7701,0,0.17123860403456503,0.10620975999999818,0.4243,0.1462,0.10193665306122163,0.04837012244897941,0.2789467115432987,1.7636950779674967
150000,5000,7561,0,0.17231045064029638,0.09579615999999863,0.409,0.1452,0.09632620408163013,0.03894424489795945,0.20129089260049599,0.7369251064456771
150000,5000,9973,0,0.17815769995913078,0.09951751999999857,0.382,0.1539,0.0936720816326508,0.04516791836734778,0.3604728915853304,1.1514138987494926
150000,5000,8552,0,0.16073366419998925,0.10308839999999873,0.418,0.155,0.09894710204081344,0.05012865306122519,0.22097909550117298,1.6419711263062946
150000,5000,6854,0,0.14968951365498862,0.0990953599999986,0.3989,0.1655,0.09627583673469159,0.050306040816326954,0.29709893584077907,1.3233362454984
150000,5000,5921,0,0.09874889264252096,0.1037088799999983,0.4111,0.2175,0.10030702040816043,0.06982783673469393,0.3404969072002894,1.6041855626251016
150000,5000,6689,0,0.1078395738996687,0.10684983999999784,0.4441,0.1598,0.10444016326530302,0.06765551020408252,0.19566011242977022,3.2810106184026555
150000,5000,10173,0,0.16124887024493628,0.10451407999999843,0.3839,0.1056,0.09872040816326297,0.052257224489795855,0.5564036046125843,4.44840311433817
150000,5000,8064,0,0.11299127053435087,0.09540071999999873,0.3905,0.1402,0.09530669387754859,0.056754285714286104,0.34157591806897103,2.9757725869402947
150000,5000,10485,0,0.26292258938316526,0.09604399999999882,0.3817,0.1264,0.09454416326530388,0.0175638367346937,0.4011382300510898,-1.3813587666894898
150000,5000,8248,0,0.1507111421198627,0.10566151999999839,0.4078,0.1327,0.10274440816326251,0.053223755102042046,0.47101772129582803,2.914322201969789
150000,5000,9945,0,0.18276016821660013,0.10225679999999816,0.4064,0.1128,0.09932146938775253,0.04198922448979659,0.3470062588347831,2.440668107461143
150000,5000,8933,0,0.34315241013703746,0.09646399999999865,0.3826,0.0001,0.09434440816326317,4e-06,0.3830053350498113,-1.1027964465679785
150000,5000,9628,0,0.17064537539841063,0.10218799999999817,0.4177,0.1027,0.10079493877550721,0.04399714285714322,0.29638897001801084,3.3596966495765264
